Acinetobacter	Anabaena	Bacillus	Bdellovibrio	Burkholderia	Chlamydia	Chlamydophila	Clostridium	Escherichia	Lactococcus	Microcystis	Mycobacterium	Prochlorococcus	Pseudomonas	Salmonella	Shigella	Staphylococcus	Streptococcus	Synechococcus	Vibrio	Yersinia
mcl_416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
mcl_419	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
mcl_431	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
mcl_432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
mcl_436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_442	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_443	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_444	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_445	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_446	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_454	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_455	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
mcl_458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
mcl_463	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2
mcl_469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
mcl_470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
mcl_472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
mcl_473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
mcl_475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
mcl_486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mcl_487	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_488	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_489	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_495	0	0	0	0	0	0	0	0	4	0	0	0	0	1	2	0	0	0	0	0	1
mcl_508	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
mcl_509	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
mcl_521	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
mcl_540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
mcl_548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
mcl_551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
mcl_552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
mcl_555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
mcl_557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
mcl_559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
mcl_569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
mcl_570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
mcl_571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
mcl_572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
mcl_575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
mcl_576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0
mcl_577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1
mcl_580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
mcl_581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
mcl_582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
mcl_583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
mcl_586	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
mcl_596	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	3	0
mcl_597	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
mcl_609	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	10	0	0
mcl_610	0	0	0	0	1	0	0	0	0	0	0	0	9	1	0	0	0	0	1	0	0
mcl_611	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_612	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_615	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
mcl_616	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0
mcl_617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
mcl_618	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0
mcl_620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
mcl_623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
mcl_627	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcl_630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
mcl_631	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0
mcl_632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mcl_634	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
mcl_636	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
